GID,GY,PH
B65 x R151,3185.498068,155.0140237
B65 x R157,2277.416504,186.3715885
B65 x R167,2419.619631,194.0146309
B65 x R171,2483.19932,183.0397004
B65 x R177,2007.910954,177.3997741
B65 x R183,2273.863577,160.9124779
B65 x R187,1807.222561,169.7675894
B65 x R2,2278.135773,179.9303073
B65 x R21,2102.509396,173.9532469
B65 x R22,2226.432916,172.9686084
B65 x R3,2496.701472,180.3396818
B65 x R69,2421.900173,186.964741
B65 x R70,1947.301898,173.3352123
B65 x R75,2061.017313,166.9652428
B65 x R80,2261.040905,190.9409718
B65 x R83,1834.279922,180.9738485
B65 x R9,1443.657471,160.9694383
B86 x R11,1594.623125,177.2986419
B86 x R110,2468.407122,196.4087188
B86 x R115,3382.7106,196.3842395
B86 x R151,2129.296902,186.1658532
B86 x R157,1942.312331,189.8515394
B86 x R171,2448.684655,201.7597146
B86 x R177,2521.43713,185.2748199
B86 x R2,2622.131339,217.0694287
B86 x R21,1801.110645,164.2903808
B86 x R22,2646.300599,204.6139613
B86 x R3,1687.750945,151.0831166
B86 x R70,2334.290828,199.5360944
B86 x R75,2036.246075,166.6060811
B86 x R80,1706.382506,204.904896
B86 x R83,2144.875493,191.3103877
B86 x R9,1871.522627,183.8211105
B96 x R11,2353.947578,182.2346056
B96 x R110,3049.451493,194.2931474
B96 x R115,2086.094211,185.6963714
B96 x R151,2370.316551,188.1866782
B96 x R157,2069.963635,190.4377838
B96 x R167,2295.91581,195.0630973
B96 x R171,2009.828533,192.7923644
B96 x R177,2244.524737,191.2346018
B96 x R183,2208.944417,181.8594039
B96 x R187,2078.73424,203.9010948
B96 x R2,2574.337189,192.8168917
B96 x R21,1343.543913,166.391801
B96 x R22,2387.523978,205.4598045
B96 x R3,1562.574376,142.3082564
B96 x R69,1750.604369,187.1702547
B96 x R70,2555.667963,197.5625924
B96 x R75,1992.006547,155.86982
B96 x R80,2092.471764,198.0708908
B96 x R83,1832.863268,187.7387613
B96 x R9,2505.030301,185.314755
